ID,Grupo,N_nós,Taxa_escala_global,suscetiveis_mean,suscetiveis_median,suscetiveis_iqr,infeccaos_mean,infeccaos_median,infeccaos_iqr,recuperados_mean,recuperados_median,recuperados_iqr,Prev_Minimo_Valor,Prev_Tempo_Minimo,Prev_Maximo_Valor,Prev_Tempo_Maximo,Prev_Final_Valor,Taxa_escala_local,Categoria
s33_g5co,G5,0.3,0.01,0.978330760461346,1,0,0.009856528,0.0,0.01971127,0.01181271,0.0,0.0,0.0,161,31.5020455873758,4,0.0,0,comercial
s34_g5co,G5,0.3,0.034,0.971858610921719,1,0,0.01294527,0.002776235,0.02609661,0.01519612,0.0,0.0,0.0,161,37.3465809468147,19,0.0,0,comercial
s35_g5co,G5,0.3,0.05,0.965426701381238,1,0,0.01613494,0.01166019,0.03053859,0.01843836,0.0,0.0,0.0,162,44.7106954997078,16,0.0,0,comercial
s36_g5co,G5,0.3,0.1,0.966518049099938,1,0,0.01569814,0.009994448,0.03053859,0.01778381,0.0,0.0,0.0,177,48.5096434833431,11,0.0,0,comercial
s37_g5co,G5,0.3,0.15,0.969802152255826,1,0,0.01371795,0.004997224,0.02665186,0.0164799,0.0,0.0,0.0,203,45.7042665108124,8,0.0,0,comercial
s38_g5co,G5,0.3,0.35,0.960445378906646,1,0,0.01848054,0.01721266,0.03331483,0.02107408,0.0,0.0,0.0,167,61.3676212741087,8,0.0,0,comercial
s39_g5co,G5,0.3,0.5,0.961384204047948,1,0,0.01809405,0.01221544,0.03442532,0.02052175,0.0,0.0,0.0,238,56.1075394506137,5,0.0,0,comercial
s40_g5co,G5,0.3,0.8,0.963689242063391,1,0,0.01703061,0.01388118,0.03220433,0.01928015,0.0,0.0,0.0,186,61.0753945061368,4,0.0,0,comercial
s41_g6co,G6,0.5,0.01,0.965731746536033,1,0,0.01585553,0.01221544,0.0294281,0.01841272,0.0,0.0,0.0,219,51.198129748685,4,0.0,0,comercial
s42_g6co,G6,0.5,0.034,0.961000950507721,1,0,0.01788408,0.01554692,0.03220433,0.02111497,0.0,0.0,0.0,169,56.6919929865576,8,0.0,0,comercial
s43_g6co,G6,0.5,0.05,0.959384860219547,1,0,0.01953133,0.0188784,0.03331483,0.02108381,0.0,0.0,0.0,153,62.5949736995909,13,0.0,0,comercial
s44_g6co,G6,0.5,0.1,0.956558649311976,1,0,0.01987564,0.0188784,0.03164908,0.02356571,0.0,0.0,0.0,189,65.166569257744,9,0.0,0,comercial
s45_g6co,G6,0.5,0.15,0.954113095815656,1,0,0.02124964,0.02165464,0.03053859,0.02463726,0.0,0.0,0.0,162,68.3810637054354,11,0.0,0,comercial
s46_g6co,G6,0.5,0.35,0.952628434556944,1,0,0.02172798,0.02220988,0.02970572,0.02564359,0.0,0.0,0.0,171,75.2776154295734,7,0.0,0,comercial
s47_g6co,G6,0.5,0.5,0.956070252548183,1,0,0.02045522,0.02054414,0.03442532,0.02347452,0.0,0.0,0.0,206,72.9398012857978,5,0.0,0,comercial
s48_g6co,G6,0.5,0.8,0.954983448055193,1,0,0.02100106,0.02109939,0.03109384,0.02401549,0.0,0.0,0.0,160,76.6218585622443,5,0.0,0,comercial
s1_g1re,G1,100.0,0.01,0.994690025923285,1,0,0.002551099,0.0,0.0,0.002758875,0.0,0.0,0.0,151,6.25305324865657,31,0.0,0,reproducao
